Link;Titulo;Copete;Seccion
https://www.quepasasalta.com.ar/policiales/tragedia-en-los-cerros-de-cachi-murio-uno-de-los-especialistas-de-salta/;Tragedia en los cerros de Cachi: murió uno de los especialistas de Salta;Pasada las 17, un llamado al 911 dio el alerta desde Cafayate sobre la caída desde el Nevado de Cachi de un hombre identificado como Lucas Bustos, Intendente de Parque Nacional Los Cardones, el cual se encontraba de licencia laboral. ;Policiales
https://www.quepasasalta.com.ar/salta/para-comer-rico-y-ayudar-se-viene-una-feria-de-platos-imperdible-en-salta/;Para comer rico y ayudar: se viene una feria de platos imperdible en Salta;Es un evento con un fin solidario que además servirá para el disfrute de las familias salteñas. Este jueves 11 y viernes 12 se realizará una gran feria de platos organizada por la Asociación de Padres y Amigos del Discapacitado -APADI Salta-. ;Salta
https://www.quepasasalta.com.ar/policiales/desaparecido-salta-nene/;Apareció el salteñito que todos buscaban: está sano y salvo ;En el marco del protocolo de búsqueda de personas que se había activado por el extravío de A. B. de 11 años, esta mañana personal de la Comisaria N° 2 de Santa Cecilia informó que el niño fue hallado en buen estado de salud.;Policiales
https://www.quepasasalta.com.ar/salta/los-semaforos-que-no-funcionaran-esta-semana-en-salta-por-cortes-programados/;Los semáforos que no funcionarán esta semana en Salta: por cortes programados;Edesa informó que en semana realizarán cortes programados de la energía eléctrica, lo que afectará el normal funcionamiento de semáforos en algunos puntos de la ciudad.;Salta
https://www.quepasasalta.com.ar/policiales/abuso-en-barrio-el-huaico-iglesia/;Espanto en una iglesia de Bº El Huaico: depravado abusó de una nenita y la quiso dormir;Un terrible suceso ocurrió el sábado pasado a las 19 horas, mientras un grupo de niños recibía clases de Catequesis en la Iglesia Natividad del Señor y la Sagrada Familia, ubicada en la avenida Barquet y Democracia del barrio El Huaico.;Policiales
https://www.quepasasalta.com.ar/policiales/la-mega-casa-que-romina-uhrig-tiene-escondida-en-salta-es-enorme/;"La mega casa que Romina Uhrig tiene escondida en Salta: ""Es enorme"" ";Romina Uhrig está en el centro de la tormenta luego de salir de Gran Hermano, en donde dijo en repetidas ocasiones que entró al reality para ganar una casa y poder tener un hogar propio para vivir con sus tres hijas. Los participantes se sintieron conmovidos por lo que contaba la exdiputada de la nación, pero en el afuera se comenzó a hablar de las incongruencias en su relato y se mostró la vida que lleva con Walter Festa, su esposo y exintendente de Moreno, con quien ahora está reconciliada.;Policiales
https://www.quepasasalta.com.ar/policiales/gritos-violencia-y-sangre-en-un-saeta-hablo-el-agresor-que-apunalo-a-un-pasajero/;Gritos, violencia y sangre en un Saeta: habló el agresor que apuñaló a un pasajero;La fiscal penal 2 de la Unidad de Graves Atentados contra las Personas en turno, Verónica Simesen de Bielke, imputó en forma provisional a un hombre de 20 años como autor de los delitos de tentativa de homicidio y lesiones.;Policiales
https://www.quepasasalta.com.ar/salta/protesta-de-judiciales-en-salta/;Judiciales iniciaron una protesta: quieren una suba de sueldos y paritarias propias;Las protestas arrancaron a las 9 de la mañana en la Ciudad Judicial y en todos los distritos judiciales de la Provincia. Por una hora, los trabajadores marcharon por los pasillos de los tribunales y oficinas manifestándose al respecto, para terminar con una asamblea general.;Salta
https://www.quepasasalta.com.ar/policiales/horror-en-una-plaza-de-salta-quiso-secuestrar-a-un-nene-y-asi-lo-atraparon/;Horror en una plaza de Salta: quiso secuestrar a un nene y así lo atraparon;Vecinos de nuestra ciudad denunciaron a nuestro medio que un hombre mayor intenta llevarse a niños en pleno centro de Orán, el suceso ocurrió en plaza San Martin. ;Policiales
https://www.quepasasalta.com.ar/salta/salta-wifi-gratis/;En 60 días, cerca de 200 plazas tendrán WI-FI libre y gratuito en Salta;En 2 meses aproximadamente, el Gobierno de la Provincia finalizará la conexión de 180 plazas al Wi-Fi libre, administrado por SALTIC. Así lo adelantó el ministro de Gobierno, Derechos Humanos y Trabajo, Ricardo Villada, quien informó que a la fecha ya se encuentran conectadas efectivamente 20 localidades salteñas.;Salta
https://www.lanacion.com.ar/politica/alberto-fernandez-el-fallo-de-la-corte-deja-a-la-democracia-como-rehen-de-un-grupo-de-jueces-nid10052023/;Alberto Fernández: “El fallo de la Corte deja a la democracia como rehén de un grupo de jueces” ;"El Presidente cuestionó al máximo tribunal por la suspensión de las elecciones en San Juan y Tucumán; “Adecúa sus decisiones a las necesidades políticas de la oposición”, señaló; acusó a los jueces de “perseguir sistemáticamente” a Cristina Kirchner";Política
https://www.lanacion.com.ar/politica/la-cortina-de-humo-de-alberto-fernandez-que-oculta-una-maniobra-inconfesable-para-sobrevivir-en-el-nid10052023/;La cortina de humo de Alberto Fernández que oculta una maniobra inconfesable para sobrevivir en el poder;"Los dos gobernadores jugaron al límite de la ley a sabiendas de que la Corte podía frenarlos; pese a los fallos en contra, consiguen digitar el proceso sucesorio";Política
https://www.lanacion.com.ar/politica/fallo-de-la-corte-horacio-rodriguez-larreta-cuestiono-el-mensaje-de-alberto-fernandez-por-cadena-nid10052023/;Fallo de la Corte: Horacio Rodríguez Larreta y Patricia Bullrich cuestionaron el mensaje de Alberto Fernández por cadena nacional;“Acá los únicos rehenes somos los argentinos, rehenes de su incapacidad de gobernar”, aseguró el jefe de Gobierno porteño y precandidato a presidente ;Política
https://www.lanacion.com.ar/politica/alberto-fernandez-jamas-podran-suspender-la-voluntad-popular-y-otras-frases-de-la-cadena-nacional-nid10052023/;Alberto Fernández: “Jamás podrán suspender la voluntad popular“ y otras frases de la cadena nacional;El Presidente cuestionó a los magistrados, entre otras cosas, por “perseguir sistemáticamente” a Cristina Kirchner;Política
https://www.lanacion.com.ar/politica/los-lazos-de-manzur-y-unac-con-los-tribunales-provinciales-que-habilitaron-sus-candidaturas-nid10052023/;Los lazos de Manzur y Uñac con los tribunales provinciales que habilitaron sus candidaturas;En Tucumán y en San Juan, la Justicia había habilitado las postulaciones de los dos dirigentes, que tienen vínculos con los jueces que los beneficiaron;Política
https://www.lanacion.com.ar/el-mundo/duro-reclamo-de-chile-a-la-argentina-por-la-intervencion-no-autorizada-de-un-rio-transfronterizo-que-nid10052023/;Duro reclamo de Chile a la Argentina por la intervención no autorizada de un río transfronterizo que se secó completamente;La cancillería chilena envió una nota tras una denuncia de estancieros locales sobre la situación del río Vizcachas;El Mundo
https://www.lanacion.com.ar/economia/movilidad-hoy-se-anunciara-un-reajuste-para-las-jubilaciones-de-la-anses-que-se-ubicaria-entre-20-y-nid10052023/;Movilidad: hoy se anunciará un reajuste para las jubilaciones de la Anses, que se ubicaría entre 20 y 21%;"Hoy se conocerá un dato clave para definir el porcentaje de la suba que tendrán en junio los haberes previsionales y otros ingresos, como la AUH; se estima que el aumento quedará por debajo del nivel de inflación";Economía
